pdf_id,A,B,C,D,notas,revisor
14,1,0,1,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ACD; no es evaluacion humana observada,DIEGO MEZA
222,1,1,1,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
223,0,1,1,FF clasica,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=CD; no es evaluacion humana observada,DIEGO MEZA
230,1,0,1,Debilidad importante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=AC; no es evaluacion humana observada,DIEGO MEZA
231,0,0,0,Debilidad importante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ninguna; no es evaluacion humana observada,DIEGO MEZA
232,1,1,1,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
233,1,1,1,Debilidad importante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABC; no es evaluacion humana observada,DIEGO MEZA
234,1,1,1,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
235,1,0,1,Sin falla relevante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=AC; no es evaluacion humana observada,DIEGO MEZA
237,0,0,0,Debilidad importante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=AC; no es evaluacion humana observada,DIEGO MEZA
238,1,0,0,No evaluable,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=A; no es evaluacion humana observada,DIEGO MEZA
239,1,0,1,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ACD; no es evaluacion humana observada,DIEGO MEZA
240,1,1,1,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
244,1,0,1,Sin falla relevante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=AC; no es evaluacion humana observada,DIEGO MEZA
245,1,0,1,FF clasica,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
246,0,0,0,FF clasica,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=BD; no es evaluacion humana observada,DIEGO MEZA
247,0,1,1,Debilidad importante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABC; no es evaluacion humana observada,DIEGO MEZA
248,0,0,1,Sin falla relevante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=C; no es evaluacion humana observada,DIEGO MEZA
249,1,1,0,No evaluable,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=AB; no es evaluacion humana observada,DIEGO MEZA
250,1,0,1,Debilidad importante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABC; no es evaluacion humana observada,DIEGO MEZA
251,1,1,1,FF clasica,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ACD; no es evaluacion humana observada,DIEGO MEZA
252,0,1,1,No evaluable,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=C; no es evaluacion humana observada,DIEGO MEZA
253,1,1,1,FF clasica,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABC; no es evaluacion humana observada,DIEGO MEZA
254,1,1,1,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
255,1,1,1,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
256,0,0,1,No evaluable,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=A; no es evaluacion humana observada,DIEGO MEZA
257,1,0,1,FF clasica,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
258,0,0,0,Debilidad importante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ninguna; no es evaluacion humana observada,DIEGO MEZA
259,0,1,0,No evaluable,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=B; no es evaluacion humana observada,DIEGO MEZA
260,1,1,1,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
261,1,0,0,No evaluable,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=A; no es evaluacion humana observada,DIEGO MEZA
262,1,1,1,Sin falla relevante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABC; no es evaluacion humana observada,DIEGO MEZA
263,1,1,1,No evaluable,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABC; no es evaluacion humana observada,DIEGO MEZA
264,1,1,1,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
265,1,1,1,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
266,0,1,1,Sin falla relevante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
267,0,0,1,FF clasica,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=BCD; no es evaluacion humana observada,DIEGO MEZA
269,1,0,1,FF clasica,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
270,1,0,1,FF clasica,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
271,1,0,0,FF clasica,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABD; no es evaluacion humana observada,DIEGO MEZA
272,1,1,1,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
273,1,0,0,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=AD; no es evaluacion humana observada,DIEGO MEZA
274,1,1,1,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
275,1,0,1,FF clasica,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
276,1,1,1,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
277,1,0,0,Sin falla relevante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=A; no es evaluacion humana observada,DIEGO MEZA
278,1,1,1,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
279,1,1,1,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
280,1,1,1,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
281,1,1,1,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
282,1,0,0,No evaluable,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=A; no es evaluacion humana observada,DIEGO MEZA
283,1,1,1,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
285,1,0,0,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=AD; no es evaluacion humana observada,DIEGO MEZA
286,1,1,1,FF clasica,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABC; no es evaluacion humana observada,DIEGO MEZA
287,0,0,0,Debilidad importante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=A; no es evaluacion humana observada,DIEGO MEZA
288,1,1,1,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
289,1,0,0,No evaluable,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=A; no es evaluacion humana observada,DIEGO MEZA
290,1,1,1,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
291,1,1,1,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
292,0,0,1,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=CD; no es evaluacion humana observada,DIEGO MEZA
293,1,1,1,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
294,1,0,1,Sin falla relevante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=AC; no es evaluacion humana observada,DIEGO MEZA
295,0,1,1,Sin falla relevante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
296,1,1,0,FF clasica,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=AB; no es evaluacion humana observada,DIEGO MEZA
297,1,0,0,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=AD; no es evaluacion humana observada,DIEGO MEZA
298,0,0,1,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=AC; no es evaluacion humana observada,DIEGO MEZA
299,1,0,0,Sin falla relevante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=A; no es evaluacion humana observada,DIEGO MEZA
300,0,1,1,Sin falla relevante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
301,1,0,1,FF clasica,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
302,1,1,0,Debilidad importante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
303,1,0,1,FF clasica,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
304,1,0,1,FF clasica,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
305,1,0,1,Sin falla relevante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABC; no es evaluacion humana observada,DIEGO MEZA
306,1,1,1,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
333,0,1,1,Sin falla relevante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
334,0,1,1,No evaluable,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABC; no es evaluacion humana observada,DIEGO MEZA
335,0,0,1,FF clasica,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=AC; no es evaluacion humana observada,DIEGO MEZA
336,1,1,1,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
337,1,1,0,FF clasica,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=AD; no es evaluacion humana observada,DIEGO MEZA
338,0,1,1,Sin falla relevante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=BC; no es evaluacion humana observada,DIEGO MEZA
339,1,0,1,Sin falla relevante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=AC; no es evaluacion humana observada,DIEGO MEZA
340,1,1,1,Debilidad importante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABC; no es evaluacion humana observada,DIEGO MEZA
341,0,1,0,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ninguna; no es evaluacion humana observada,DIEGO MEZA
342,1,0,1,FF clasica,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
343,0,0,0,Debilidad importante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ninguna; no es evaluacion humana observada,DIEGO MEZA
344,1,1,1,FF con reconocimiento,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABCD; no es evaluacion humana observada,DIEGO MEZA
345,0,0,1,FF clasica,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=ABC; no es evaluacion humana observada,DIEGO MEZA
346,1,1,0,Debilidad importante,IMPUTADO_NOTEBOOKLM_PROPORCIONAL; donante=notebooklm; dimensiones_iguales=AB; no es evaluacion humana observada,DIEGO MEZA
